DateTime,Temperature,Humidity
2022-05-24 14:13:53,26.087326,76.53873
2022-05-24 15:13:53,26.088938,76.55156
2022-05-24 16:13:53,26.058346,76.43753
2022-05-24 17:13:53,26.065912,76.4657
2022-05-24 18:13:53,26.09024,76.55299
2022-05-24 19:13:53,26.083466,76.52434
2022-05-24 20:13:53,26.084517,76.52826
2022-05-24 21:13:53,26.019413,76.2963
2022-05-24 22:13:53,26.009237,76.258644
2022-05-24 23:13:53,25.996265,76.21071
2022-05-25 00:13:53,26.007551,76.2492
2022-05-25 01:13:53,25.957544,76.07437
2022-05-25 02:13:53,25.966198,76.10307
2022-05-25 03:13:53,25.953505,76.05644
2022-05-25 04:13:53,25.934069,75.98826
2022-05-25 05:13:53,25.954119,76.0587
2022-05-25 06:13:53,25.959957,76.077065
2022-05-25 07:13:53,25.950743,76.04631
2022-05-25 08:13:53,25.926878,75.95896
2022-05-25 09:13:53,25.933155,75.9819
2022-05-25 10:13:53,25.930758,75.973145
2022-05-25 11:13:53,25.924204,75.95218
2022-05-25 12:13:53,25.907154,75.88998
2022-05-25 13:13:53,25.913286,75.91232
2022-05-25 14:13:53,25.930191,75.977104
2022-05-25 15:13:53,25.922424,75.94568
2022-05-25 16:13:53,25.912992,75.911255
2022-05-25 17:13:53,25.942835,76.02037
2022-05-25 18:13:53,25.972506,76.12944
2022-05-25 19:13:53,25.970936,76.12365
2022-05-25 20:13:53,25.913872,75.91446
2022-05-25 21:13:53,25.908026,75.89316
2022-05-25 22:13:53,25.875193,75.77961
2022-05-25 23:13:53,25.855879,75.70973
2022-05-26 00:13:53,25.87603,75.78265
2022-05-26 01:13:53,25.999153,76.234436
2022-05-26 02:13:53,25.941757,76.025764
2022-05-26 03:13:53,25.920687,75.94536
2022-05-26 04:13:53,25.953087,76.06747
2022-05-26 05:13:53,26.007616,76.26582
2022-05-26 06:13:53,25.938114,76.012375
2022-05-26 07:13:53,25.94909,76.05274
2022-05-26 08:13:53,25.934248,76.001335
2022-05-26 09:13:53,25.96707,76.11904
2022-05-26 10:13:53,25.926083,75.96821
2022-05-26 11:13:53,25.979593,76.16204
2022-05-26 12:13:53,25.885897,75.8214
2022-05-26 13:13:53,25.926083,75.96821
2022-05-26 14:13:53,25.886747,75.8245
2022-05-26 15:13:53,25.87746,75.79664
2022-05-26 16:13:53,25.889046,75.83585
2022-05-26 17:13:53,25.921074,75.95296
2022-05-26 18:13:53,25.89076,75.8421
2022-05-26 19:13:53,25.906876,75.89488
2022-05-26 20:13:53,25.945305,76.032524
2022-05-26 21:13:53,25.893911,75.85359
2022-05-26 22:13:53,25.951788,76.059494
2022-05-26 23:13:53,25.883343,75.8092
2022-05-27 00:13:53,25.89876,75.86529
2022-05-27 01:13:53,25.91243,75.91517
2022-05-27 02:13:53,25.933756,75.9841
2022-05-27 03:13:53,25.897032,75.858986
2022-05-27 04:13:53,25.865456,75.74719
2022-05-27 05:13:53,25.915928,75.92196
2022-05-27 06:13:53,26.03296,76.34324
2022-05-27 07:13:53,26.00268,76.23121
2022-05-27 08:13:53,26.09846,76.57351
2022-05-27 09:13:53,26.181038,76.868675
2022-05-27 10:13:53,26.231829,77.05252
2022-05-27 11:13:53,26.287739,77.2562
2022-05-27 12:13:53,26.26999,77.19278
2022-05-27 13:13:53,26.416264,77.72874
2022-05-27 14:13:53,26.66739,78.67381
2022-05-27 15:13:53,26.709312,78.83105
2022-05-27 16:13:53,26.702225,78.795845
2022-05-27 17:13:53,26.826237,79.26555
2022-05-27 18:13:53,26.91206,79.572975
2022-05-27 19:13:53,26.999788,79.912125
2022-05-27 20:13:53,26.765453,79.0234
2022-05-27 21:13:53,27.206245,80.69636
2022-05-27 22:13:53,27.30119,81.04524
2022-05-27 23:13:53,27.118675,80.35271
2022-05-28 00:13:53,27.060375,80.134735
2022-05-28 01:13:53,27.156267,80.49846
2022-05-28 02:13:53,27.238274,80.80483
2022-05-28 03:13:53,27.35308,81.2391
2022-05-28 04:13:53,27.510912,81.845245
2022-05-28 05:13:53,27.427366,81.52793
2022-05-28 06:13:53,27.506271,81.82335
2022-05-28 07:13:53,27.539095,81.943504
2022-05-28 08:13:53,27.59713,82.165695
2022-05-28 09:13:53,27.85443,83.139305
2022-05-28 10:13:53,27.871708,83.21022
2022-05-28 11:13:53,27.820246,83.009544
2022-05-28 12:13:53,27.880045,83.2357
2022-05-28 13:13:53,27.979658,83.620834
2022-05-28 14:13:53,27.955961,83.53184
2022-05-28 15:13:53,27.894503,83.29559
2022-05-28 16:13:53,27.987207,83.64345
2022-05-28 17:13:53,28.136496,84.22935
2022-05-28 18:13:53,28.33777,84.98941
2022-05-28 19:13:53,28.1862,84.40378
2022-05-28 20:13:53,28.05865,83.912254
2022-05-28 21:13:53,27.936836,83.443474
